"YEAR","viability","age_category","HIV","case_count"
2007,"Non-viable","40 - 44 years","Negative",2
2007,"Non-viable","40 - 44 years","Positive",34
2007,"Non-viable","40 - 44 years","Unknown",23
2007,"Non-viable","45 - 49 years","Negative",4
2007,"Non-viable","45 - 49 years","Positive",17
2007,"Non-viable","45 - 49 years","Unknown",13
2007,"Non-viable","50 - 54 years","Negative",3
2007,"Non-viable","50 - 54 years","Positive",8
2007,"Non-viable","50 - 54 years","Unknown",11
2007,"Non-viable","55 - 59 years","Negative",2
2007,"Non-viable","55 - 59 years","Positive",3
2007,"Non-viable","55 - 59 years","Unknown",9
2007,"Non-viable","60 - 64 years","Positive",2
2007,"Non-viable","60 - 64 years","Unknown",7
2007,"Non-viable","65 - 69 years","Negative",1
2007,"Non-viable","65 - 69 years","Unknown",4
2007,"Non-viable","70 - 74 years","Unknown",2
2007,"Non-viable","75 - 79 years","Negative",1
2007,"Non-viable","75 - 79 years","Unknown",4
2007,"Non-viable","80 - 84 years","Positive",1
2007,"Non-viable","85 - 89 years","Unknown",2
2007,"Non-viable","Unknown","Unknown",24
2007,"Viable","0 - 5 months","Negative",51
2007,"Viable","0 - 5 months","Positive",55
2007,"Viable","0 - 5 months","Unknown",222
2007,"Viable","6 - 11 months","Negative",33
2007,"Viable","6 - 11 months","Positive",54
2007,"Viable","6 - 11 months","Unknown",164
2007,"Viable","12 - 17 months","Negative",17
2007,"Viable","12 - 17 months","Positive",35
2007,"Viable","12 - 17 months","Unknown",97
2007,"Viable","18 - 23 months","Negative",14
2007,"Viable","18 - 23 months","Positive",20
2007,"Viable","18 - 23 months","Unknown",47
2007,"Viable","24 - 29 months","Negative",8
2007,"Viable","24 - 29 months","Positive",22
2007,"Viable","24 - 29 months","Unknown",53
2007,"Viable","30 - 35 months","Negative",7
2007,"Viable","30 - 35 months","Positive",13
2007,"Viable","30 - 35 months","Unknown",31
2007,"Viable","36 - 41 months","Negative",3
2007,"Viable","36 - 41 months","Positive",9
2007,"Viable","36 - 41 months","Unknown",32
2007,"Viable","42 - 47 months","Negative",3
2007,"Viable","42 - 47 months","Positive",16
2007,"Viable","42 - 47 months","Unknown",18
2007,"Viable","48 - 53 months","Negative",4
2007,"Viable","48 - 53 months","Positive",8
2007,"Viable","48 - 53 months","Unknown",21
2007,"Viable","54 - 59 months","Negative",1
2007,"Viable","54 - 59 months","Positive",11
2007,"Viable","54 - 59 months","Unknown",15
2007,"Viable","5 - 9 years","Negative",19
2007,"Viable","5 - 9 years","Positive",63
2007,"Viable","5 - 9 years","Unknown",152
2007,"Viable","10 - 14 years","Negative",7
2007,"Viable","10 - 14 years","Positive",19
2007,"Viable","10 - 14 years","Unknown",48
2007,"Viable","15 - 19 years","Negative",1
2007,"Viable","15 - 19 years","Positive",5
2007,"Viable","15 - 19 years","Unknown",32
